isAdult,releaseYear,runtimeMinutes,genres,lifetimeGross,nrOfReleases,director_nrOfMovies,nrOfEmployees,nrOfActors,averageRating,numVotes,sameYearTotalMoviesReleased
0,2017,96,"Drama,Romance",4077333.0,28,42,21,10,6.5,10481,18977
0,1996,91,"Animation,Drama,Family",100138851.0,53,23,23,13,7.0,172197,4372
0,1996,65,Animation,100138851.0,7,40,14,8,1.9,74,4372
0,2000,94,Drama,2202382.0,21,54,18,10,7.1,1994,5246
0,2012,87,Drama,11403.0,13,76,21,10,5.5,2952,14841
0,2016,81,"Horror,Mystery",67268835.0,51,39,23,10,6.3,142807,18513
0,1999,88,"Comedy,Drama,Romance",8302478.0,24,23,21,10,5.5,4697,5036
0,2009,141,"Action,Adventure,Drama",149333.0,7,5,20,10,4.8,3066,12001
0,2010,92,Drama,2560.0,18,1,24,10,4.8,3090,12843
0,1996,92,"Comedy,Drama",39962.0,10,2,19,10,6.1,548,4372
0,2004,105,"Crime,Drama,Mystery",673828.0,20,18,22,12,6.6,3011,6733
0,2013,74,Thriller,2631.0,10,5,25,12,5.0,616,15505
0,2015,89,Comedy,50203.0,25,14,18,10,6.7,3217,17292
0,2017,157,"Action,Adventure,Drama",50203.0,14,30,17,12,6.9,2131,18977
0,2017,106,"Action,Thriller",122700.0,9,2,23,10,5.8,225,18977
0,2011,118,"Comedy,Romance",54544638.0,51,43,22,10,5.6,89932,13791
0,1956,220,"Adventure,Drama,Family",65500000.0,62,82,19,10,7.9,78132,2601
0,1995,99,"Crime,Drama,Thriller",5772529.0,20,3,21,10,5.0,1258,4397
0,1984,128,"Action,Adventure,Crime",21689062.0,41,26,22,10,5.9,13833,4434
0,1993,139,"Drama,Romance",32255440.0,55,106,20,10,7.2,68026,4214
0,1987,112,"Crime,Mystery,Thriller",12640385.0,42,23,20,10,6.4,6880,4526
0,2006,78,Documentary,93477.0,14,12,11,0,7.1,902,8293
0,1999,96,"Drama,War",2092682.0,31,36,16,10,7.6,9780,5036
0,2012,100,"Action,Adventure,Comedy",13749300.0,35,25,22,10,6.1,37541,14841
0,2015,80,"Documentary,Drama",12101.0,3,10,10,1,7.8,15,17292
0,1979,96,"Comedy,Drama,Romance",39946780.0,46,69,18,10,7.8,147636,4157
0,1996,105,"Comedy,Drama,Fantasy",95318203.0,32,8,23,10,5.7,45155,4372
0,2009,125,"Drama,Romance",1110509.0,41,142,19,10,7.2,12805,12001
0,1953,77,"Adventure,Animation,Family",87404651.0,53,252,21,12,7.3,153561,2227
0,1991,85,"Drama,Horror,Romance",787280.0,20,29,23,10,6.3,5052,4467
0,2006,104,Drama,8872.0,12,56,21,10,6.8,491,8293
0,2007,94,"Comedy,Fantasy,Horror",347578.0,39,4,28,16,5.4,46583,9066
0,2001,98,Drama,30160161.0,5,78,13,6,6.7,108,5636
0,2002,116,"Action,Comedy,Thriller",30160161.0,49,43,27,12,5.6,50192,5864
0,2013,109,"Drama,Romance",8114627.0,60,49,21,10,7.9,172695,15505
0,1995,178,"Biography,Drama,War",75609945.0,64,19,20,10,8.3,1094196,4397
0,2000,90,Drama,440554.0,32,25,17,10,7.4,6706,5246
0,2002,100,Thriller,440554.0,19,102,18,10,5.1,662,5864
0,1986,87,"Action,Crime,Thriller",49042224.0,51,11,20,10,5.8,79839,4463
0,2012,109,"Action,Adventure,Crime",66528000.0,48,43,24,10,6.4,126456,14841
0,1990,102,"Comedy,Crime",21460601.0,37,8,20,10,6.5,22093,4920
0,2011,132,"Biography,Drama,History",355391.0,30,31,20,10,7.0,11310,13791
0,2015,103,"Comedy,Drama,Romance",4267218.0,27,17,20,11,6.3,14092,17292
0,2004,143,"Drama,Musical,Romance",51268815.0,59,43,19,10,7.2,130971,6733
0,1990,89,"Comedy,Crime",15260154.0,47,3,20,10,6.8,22260,4920
0,2017,91,Drama,2367.0,15,7,21,9,6.3,434,18977
0,1982,129,Drama,53977250.0,56,188,19,10,7.7,46148,4121
0,1999,102,"Comedy,Drama",1350248.0,25,37,19,10,6.7,3662,5036
0,2008,100,"Drama,History,War",31160.0,51,11,26,17,6.6,862,10549
0,1989,96,Drama,1029822.0,15,507,19,10,5.7,397,4633
0,1991,107,"Adventure,Drama,Family",34793160.0,41,53,23,10,6.7,22526,4467
0,1992,85,"Adventure,Comedy",24079.0,4,64,19,10,5.7,177,4394
0,1939,102,"Adventure,Family,Fantasy",24770492.0,73,78,24,16,8.1,429868,1898
0,2004,109,"Adventure,Drama,Family",19176754.0,41,28,24,10,7.0,15936,6733
0,1974,144,"Drama,Romance",20563273.0,42,11,17,10,6.4,26932,3814
0,2015,127,"Comedy,Romance",462918.0,6,70,17,10,5.6,215,17292
0,1987,90,"Comedy,Fantasy,Romance",42721196.0,34,9,20,10,6.0,35834,4526
0,1927,153,"Drama,Sci-Fi",1236166.0,52,50,28,18,8.3,186052,2220
0,2016,107,"Adventure,Animation,Comedy",248757044.0,71,16,22,11,7.6,380409,18513
0,1997,97,"Action,Comedy,Crime",40922619.0,40,36,21,10,6.2,31404,4708
0,2011,109,"Adventure,Comedy,Family",23186769.0,41,8,28,11,5.8,48766,13791
